slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok,n_llm_calls_error
frequentis_ag,FREQUENTIS AG,FREQUENTIS AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\frequentis_ag\2023\focused\frequentis_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,15,12,0.190937,0.395473,42.085018,45.401394,12,0
fuchs_se,FUCHS SE,FUCHS SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\fuchs_se\2023\focused\fuchs_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,26,12,0.18189,0.513053,71.467683,74.912377,12,0
fuchs_se,FUCHS SE,FUCHS SE,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\fuchs_se\2024\focused\fuchs_se_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,9,9,0.169446,0.379259,52.104084,54.565821,9,0
famicord_ag,FamiCord AG,FamiCord AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\famicord_ag\2023\focused\famicord_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,26,12,0.094944,0.571082,50.610476,53.969124,12,0
flughafen_wien_ag,Flughafen Wien AG,Flughafen Wien AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\flughafen_wien_ag\2023\focused\flughafen_wien_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,24,12,0.216735,0.482979,60.63646,64.095143,12,0
fraport_ag,Fraport AG,Fraport AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\fraport_ag\2023\focused\fraport_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,45,12,0.195547,0.482616,32.989721,36.450085,12,0
fresenius_medical_care_ag,Fresenius Medical Care AG,Fresenius Medical Care AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\fresenius_medical_care_ag\2023\focused\fresenius_medical_care_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,43,12,0.217171,0.477404,47.163351,50.605299,12,0
fresenius_se_co_kgaa,Fresenius SE & Co. KGaA,Fresenius SE & Co. KGaA,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\fresenius_se_co_kgaa\2023\focused\fresenius_se_co_kgaa_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,38,12,0.216639,0.621904,27.079054,30.83043,12,0
friedrich_vorwerk_group_se,Friedrich Vorwerk Group SE,Friedrich Vorwerk Group SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\friedrich_vorwerk_group_se\2023\focused\friedrich_vorwerk_group_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.166066,0.494844,55.085061,58.533731,12,0
galp_energia_sgps_s_a,GALP ENERGIA SGPS S.A.,GALP ENERGIA SGPS S.A.,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\galp_energia_sgps_s_a\2024\focused\galp_energia_sgps_s_a_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,9,9,0.160847,0.404333,21.433943,23.962708,9,0
